index,response,left_tissue,right_tissue,normalized_overlap_trace_mean,normalized_overlap_trace_std,overlap_effective_rank_mean,overlap_effective_rank_std,supported_contrast_fraction_mean,supported_contrast_fraction_std,overlap_weighted_head_energy_mean,overlap_weighted_head_energy_std,pairwise_penalty_contribution_mean,pairwise_penalty_contribution_std,overlap_eigenvalue_1_mean,overlap_eigenvalue_1_std,overlap_eigenvalue_2_mean,overlap_eigenvalue_2_std,overlap_eigenvalue_3_mean,overlap_eigenvalue_3_std,overlap_eigenvalue_4_mean,overlap_eigenvalue_4_std,overlap_eigenvalue_5_mean,overlap_eigenvalue_5_std,overlap_eigenvalue_6_mean,overlap_eigenvalue_6_std,overlap_eigenvalue_7_mean,overlap_eigenvalue_7_std,overlap_eigenvalue_8_mean,overlap_eigenvalue_8_std
15,JAM2,brain_anterior_cingulate_cortex_ba24,brain_hypothalamus,0.5187489356784357,0.06511206439637457,3.959619016330246,0.47527322804684285,0.5914870585591967,0.0844711038617959,0.06962206972993384,0.02065924315982361,8.474791445084502e-05,2.5360213955729738e-05,1.2441838049422398,0.4303367792576261,0.5238603098273708,0.1518893985480576,0.3490603594510953,0.09184403650968148,0.24148249539779715,0.061197737786015415,0.14074479426066575,0.025328875959521675,0.08829450939917609,0.019072243973301355,0.053879498640879174,0.007449612230722356,0.03174819808656665,0.006457694133802829
16,JAM2,brain_anterior_cingulate_cortex_ba24,brain_nucleus_accumbens_basal_ganglia,0.44533398879735675,0.06931394841649977,4.102348326233625,0.41907332122580826,0.48278084763475404,0.08714910289299711,0.06330631845976034,0.02853056043550275,8.072265329583078e-05,2.5930086197675365e-05,1.1435284972846664,0.37816369421513746,0.5125955493684289,0.1307713538416668,0.345252409310521,0.0836166490499684,0.23793978555618306,0.059866078268148014,0.13592420669423547,0.026836335575125353,0.08234962279932216,0.016664531483017664,0.05097836752847412,0.006609978202162357,0.03088262642740381,0.005334172790639165
17,JAM2,brain_anterior_cingulate_cortex_ba24,brain_putamen_basal_ganglia,0.41820816457851506,0.06653171455520451,4.301935828535883,0.4508934382190544,0.47958951224729807,0.07245213903103827,0.08233807257927198,0.029808794621516203,8.778176537951219e-05,2.2872145937226388e-05,1.0104921272364205,0.33834094738998455,0.46246138334837106,0.12517493265006427,0.3172379253206377,0.08086188931327583,0.2109500310628602,0.0510592136157249,0.1270521124623463,0.024137705762212924,0.0789616851106823,0.013058778146609091,0.048745065668542135,0.00610717956619465,0.029160538856741264,0.004722080263637361
18,JAM2,brain_anterior_cingulate_cortex_ba24,brain_spinal_cord_cervical_c-1,0.45447738197501203,0.07565205506608454,4.11119534561101,0.4810533819774169,0.5810801774223626,0.11492540265472401,0.07993674808414077,0.026219683635157785,8.983482692435876e-05,3.084745364349961e-05,1.2295400088669144,0.3911274710408801,0.5103718186374959,0.14277313208749634,0.35861029229000735,0.10087436411290635,0.23335800833088077,0.05222515892874965,0.1401261944978123,0.025031322156968103,0.08798005545720995,0.019016643052344465,0.0534990586400225,0.006501515896637946,0.03224412981079981,0.0056230190997019775
19,JAM2,brain_caudate_basal_ganglia,brain_cerebellar_hemisphere,0.28813551695760525,0.062386042319735845,4.3628094815937155,0.5637658901838389,0.26687555780443606,0.08459849744226589,0.09284621794350782,0.0398890145427224,7.825302242559599e-05,2.0048856524712252e-05,0.8552656363844175,0.36502783037148645,0.39802303538409545,0.11921519229059743,0.2538467946192847,0.06300519747138882,0.16590600111594297,0.04076542941539369,0.10918960201782116,0.019958089258954686,0.06983050990380282,0.009931318929664533,0.0445857758983366,0.005829397930163903,0.026167553695695744,0.003776785624220268
20,JAM2,brain_caudate_basal_ganglia,brain_cerebellum,0.3366712651835316,0.0819802426288527,4.309061546512732,0.45937850890117937,0.3236370541912078,0.09236359895146294,0.1201427128174621,0.040654237279148346,0.00010468294884431623,2.3216905213792314e-05,0.8771233480798235,0.3220276938783719,0.44480789367000123,0.1470427437261836,0.2621931608008126,0.06919158052425188,0.17102485994903813,0.04444386939190235,0.10498510056009311,0.02147904995166703,0.0674444856631196,0.010454624825198171,0.04374848596440671,0.0055378719443104595,0.02599833843808978,0.003689294530941552
21,JAM2,brain_caudate_basal_ganglia,brain_cortex,0.41815497265977386,0.07874110960933323,4.191008883405166,0.5084420659810148,0.40412127635529194,0.09152311401013706,0.11074030077244335,0.04279753747018198,0.00011883913221886089,2.7527822169447645e-05,0.9780822327083782,0.37057741493900986,0.4571068257213214,0.12656046321719064,0.2758239817598658,0.0649378432752268,0.18144620446790208,0.03887372780132044,0.11401138688017594,0.020707342578243505,0.07077060272454701,0.010504872643070432,0.04497095818794204,0.005228898778918908,0.028115581749351387,0.004252377332700658
22,JAM2,brain_caudate_basal_ganglia,brain_frontal_cortex_ba9,0.4161073062212994,0.0719600352008341,4.317079621857789,0.5139066222447394,0.39304629203442465,0.09818725535025116,0.06039535685654458,0.01788679655016939,8.388010456179782e-05,2.8737057600663977e-05,0.9588210699054599,0.3595790781965842,0.45229210755279636,0.11621631614806031,0.29083264242544155,0.07965195588373834,0.19806702584464253,0.042129229407604066,0.121229157296215,0.023714187791890103,0.07683689285643991,0.012505608289605251,0.04682099551612333,0.0060771868677226455,0.029334869877886655,0.004310279125802874
23,JAM2,brain_caudate_basal_ganglia,brain_hypothalamus,0.4432822104597857,0.06645470209838955,4.096481796476413,0.38708240703185337,0.3714079704568737,0.07649978861363392,0.13221806823091115,0.04369410479287162,0.00011892671593099712,2.7474076421278788e-05,1.1024820583195312,0.36799302042391174,0.5200509224284635,0.15753967738229588,0.3150644924242753,0.07925879088298472,0.2125123199637148,0.05354382020196791,0.13149848682081386,0.026349833697294305,0.08502111366111152,0.014088064402099374,0.054394992014075404,0.007416636983295855,0.03267439710430736,0.0052857862532048935
24,JAM2,brain_caudate_basal_ganglia,brain_nucleus_accumbens_basal_ganglia,0.5296679293180346,0.04613727667338509,2.9255028151478233,0.30613174876202803,0.42633158309578045,0.03565674068809242,0.09482701047328032,0.02551791794957393,0.00011012438915847726,2.8937846101613418e-05,1.7073453349648768,0.43339359185703724,0.6503049195783454,0.17728114479676746,0.3171029397369152,0.0848482192253133,0.20121394389581798,0.04385573298458457,0.12421999325984368,0.02584587569942136,0.08016088966647864,0.011862026351515495,0.05095446108399665,0.007293426783772008,0.03086175378709064,0.005059385283774109
