method,tissue,standardized_mse,raw_mse,selected_coupling,fit_seconds,train,validation,test,response,test_fold,cv_repeat,standardized_sse,raw_sse
STL,brain_anterior_cingulate_cortex_ba24,0.5067751978909075,0.0852622872866573,0.0,23.13137317914516,109,34,33,JAM2,0,0,16.723581530399947,2.813655480459691
STL,brain_caudate_basal_ganglia,0.2233108720889529,0.0576287523961843,0.0,23.13137317914516,147,47,52,JAM2,0,0,11.61216534862555,2.9966951246015836
STL,brain_cerebellar_hemisphere,0.1215208158631782,0.0368670861948502,0.0,23.13137317914516,129,42,44,JAM2,0,0,5.346915897979841,1.6221517925734088
STL,brain_cerebellum,0.1421597634174806,0.0339993679660141,0.0,23.13137317914516,142,46,53,JAM2,0,0,7.5344674611264715,1.8019665021987472
STL,brain_cortex,0.4706919450270268,0.0900909747724564,0.0,23.13137317914516,150,49,56,JAM2,0,0,26.358748921513502,5.045094587257558
STL,brain_frontal_cortex_ba9,0.3617462354037395,0.060537432500659,0.0,23.13137317914516,123,44,42,JAM2,0,0,15.19334188695706,2.542572165027678
STL,brain_hypothalamus,0.388802286953945,0.0992352847780632,0.0,23.13137317914516,121,39,42,JAM2,0,0,16.32969605206569,4.167881960678654
STL,brain_nucleus_accumbens_basal_ganglia,0.3664038190341845,0.1018530163916918,0.0,23.13137317914516,152,50,44,JAM2,0,0,16.12176803750412,4.481532721234439
STL,brain_putamen_basal_ganglia,0.3798029654776438,0.0970134202590455,0.0,23.13137317914516,119,44,42,JAM2,0,0,15.95172455006104,4.074563650879911
STL,brain_spinal_cord_cervical_c-1,0.102125499378306,0.0644572975353558,0.0,23.13137317914516,95,27,37,JAM2,0,0,3.7786434769973223,2.3849200088081646
MMoE,brain_amygdala,0.3950917674055146,0.1115644055364927,0.0,22.551827683113515,96,28,28,JAM2,0,0,11.06256948735441,3.1238033550217956
MMoE,brain_anterior_cingulate_cortex_ba24,0.3437811063132094,0.0578393804041523,0.0,22.551827683113515,109,34,33,JAM2,0,0,11.34477650833591,1.908699553337026
MMoE,brain_caudate_basal_ganglia,0.1969751406166809,0.0508324180574629,0.0,22.551827683113515,147,47,52,JAM2,0,0,10.242707312067406,2.643285738988071
