cv_repeat,response,left_tissue,right_tissue,normalized_overlap_trace,overlap_effective_rank,supported_contrast_fraction,overlap_weighted_head_energy,pairwise_penalty_contribution,overlap_eigenvalue_1,overlap_eigenvalue_2,overlap_eigenvalue_3,overlap_eigenvalue_4,overlap_eigenvalue_5,overlap_eigenvalue_6,overlap_eigenvalue_7,overlap_eigenvalue_8
14,JAM2,brain_amygdala,brain_spinal_cord_cervical_c-1,0.47455632936514497,4.155302935704774,0.5720403498906412,0.09180835229460765,3.584663459797265e-05,1.3220321319002568,0.7536028679277014,0.5167437103427733,0.31322519767700985,0.16221497744508825,0.09952345500522271,0.054376998902200824,0.0312568385356144
14,JAM2,brain_anterior_cingulate_cortex_ba24,brain_caudate_basal_ganglia,0.47005847937512507,4.397459486470067,0.38166732465005304,0.19812970565252172,6.83660479872964e-05,1.1807086206106945,0.5847038431553393,0.4319332649652572,0.284930284740571,0.1467530233712507,0.07624833815884133,0.04753855585158954,0.02625649332658044
14,JAM2,brain_anterior_cingulate_cortex_ba24,brain_cerebellar_hemisphere,0.3705248823393633,4.236932446701269,0.44542508715933093,0.10770869188838099,5.982684803249078e-05,1.0330386884690979,0.5942278175171103,0.4361288491831514,0.2650888170854476,0.12765147657916823,0.07010623880866251,0.04010909003892912,0.02445559682462298
14,JAM2,brain_anterior_cingulate_cortex_ba24,brain_cerebellum,0.48818540626999585,4.287084130566778,0.5242570590339697,0.14377896069120047,9.092711693851976e-05,1.0152163009859905,0.6493896827045054,0.4660307785575336,0.2823991749383104,0.12131249870132606,0.06575751360946427,0.042867008387178815,0.02250830456534446
14,JAM2,brain_anterior_cingulate_cortex_ba24,brain_cortex,0.7128212863244745,2.9809178250108124,0.8295842327829286,0.22190336436347685,0.00017679241509176757,1.9037523595793462,0.7833306575324585,0.41829906414249873,0.2735609614961423,0.13096796326632187,0.06839968168390162,0.04934377309627478,0.02281442995878058
14,JAM2,brain_anterior_cingulate_cortex_ba24,brain_frontal_cortex_ba9,0.7563905970116996,2.937767979355738,0.7410298592877562,0.33176883127814044,0.00020700436419162136,2.138564911592539,0.7788989654764265,0.46406381887197634,0.29781758513177564,0.14337076326672635,0.066220681454403,0.04688283956399084,0.024449493555452402
14,JAM2,brain_anterior_cingulate_cortex_ba24,brain_hypothalamus,0.5946474709945683,4.110923375540508,0.6618964734519013,0.09991150103912144,5.102826630241713e-05,1.2406992303140232,0.6774665511418011,0.46579516629273054,0.3460082053492389,0.17671784402398133,0.08550332848081514,0.05027053059654102,0.0273428789993988
14,JAM2,brain_anterior_cingulate_cortex_ba24,brain_nucleus_accumbens_basal_ganglia,0.5239282036537853,3.792738406105511,0.5353453052301378,0.13851131646984166,5.768344960585094e-05,1.3979268340922064,0.6521442345086469,0.4635717989673423,0.3214675254362458,0.15764122355295446,0.07776249119371173,0.05215099233191652,0.0259428907974263
14,JAM2,brain_anterior_cingulate_cortex_ba24,brain_putamen_basal_ganglia,0.4775045041590527,4.193163915103386,0.5189879078303301,0.15727867918687655,6.199495166803656e-05,1.2283723067990935,0.6409129470664405,0.43524588674420234,0.2673127667877976,0.15489533707632422,0.07907701704391056,0.052588432295056074,0.0265479021208275
14,JAM2,brain_anterior_cingulate_cortex_ba24,brain_spinal_cord_cervical_c-1,0.4581692073359366,4.219364970606468,0.6130350714339101,0.12370798428769639,3.242374144698867e-05,1.1317899352241514,0.6678015314506484,0.48232651168791163,0.29754228652407966,0.1609524340508358,0.08801154552576984,0.05677596205765566,0.02950128070362066
14,JAM2,brain_caudate_basal_ganglia,brain_cerebellar_hemisphere,0.3261491648060366,3.9007730836425543,0.4272161662040297,0.09715580491467725,4.279821435655973e-05,1.1425314468411565,0.5030539312606152,0.34539840027014723,0.2503245564680673,0.13212095542237684,0.07293457319673434,0.04133477863552484,0.02400195176008904
14,JAM2,brain_caudate_basal_ganglia,brain_cerebellum,0.4066308969292821,4.233119041139648,0.43541060803537446,0.15560007763059897,9.331015620439265e-05,0.9687576615614197,0.583502006140974,0.3805858704944885,0.28079352382918704,0.12178565499913278,0.07157348213487952,0.04186520099172334,0.02196352923322012
14,JAM2,brain_caudate_basal_ganglia,brain_cortex,0.46943204294842944,4.05306285792568,0.3783917394991923,0.1703724203608928,8.787410485359119e-05,1.211653479024766,0.5661120518532214,0.38331500173873134,0.2654865580177999,0.13493250404919124,0.07104253527914625,0.04417943479954582,0.02365368527214156
14,JAM2,brain_caudate_basal_ganglia,brain_frontal_cortex_ba9,0.49550558035425035,3.9048097480515955,0.4706978381418553,0.10058488430077143,6.393894430775686e-05,1.2842133776424882,0.5369327806218531,0.4404846324771549,0.27369954002675634,0.14478799699546455,0.06902948148985408,0.04348323461030776,0.025111201193794303
14,JAM2,brain_caudate_basal_ganglia,brain_hypothalamus,0.4964749543314868,4.324289437622037,0.4345222100503007,0.12506207345070067,8.214980374965394e-05,1.0539553993991313,0.6614265023670539,0.4480817833470975,0.30362096202925976,0.17625818335468882,0.0874070263916898,0.04901443474854978,0.02849124129019472
14,JAM2,brain_caudate_basal_ganglia,brain_nucleus_accumbens_basal_ganglia,0.5197167309134548,3.5619455343557327,0.4473422151068537,0.08167072972533083,6.498859570053779e-05,1.4877618592214223,0.7326675667430156,0.4789775220449136,0.26635967644182185,0.17320511562068722,0.08298955376194314,0.04749410304561768,0.025480196832367196
