cv_repeat,method,equal_response_standardized_mse,equal_response_raw_mse,responses
14,STL,0.5498787433281903,0.07135126638218964,2
15,ARMUL,0.48569260262405267,0.06095232418218083,2
15,COVER,0.493773861608267,0.06067192167183871,2
15,FLARCC,0.48973836862828624,0.061352914363375956,2
15,HPS,0.4949789902165993,0.06106545537789097,2
15,MMoE,0.566944781863841,0.0694166704253576,2
15,Pool,0.532466102381339,0.06820846288683559,2
15,STL,0.6076307809728945,0.07111519653050213,2
16,ARMUL,0.46649386892333744,0.06189455891327878,2
16,COVER,0.4849576333052623,0.06275245435837927,2
16,FLARCC,0.4752978435328476,0.06322146875472291,2
16,HPS,0.49064315512384393,0.06347695051504955,2
16,MMoE,0.5064958638883766,0.06639221355176367,2
16,Pool,0.48045394043085493,0.06621899573780637,2
16,STL,0.5369889168414739,0.07065040062338307,2
17,ARMUL,0.5138233515884675,0.06315255874233144,2
17,COVER,0.5044325888046537,0.0633563593950072,2
17,FLARCC,0.5192707540474175,0.06422163430462194,2
17,HPS,0.5042858633648419,0.06299946405710166,2
17,MMoE,0.5685561934379509,0.06864922281055215,2
17,Pool,0.515776202559387,0.06691064152936432,2
17,STL,0.5974307840644116,0.07338328602424807,2
18,ARMUL,0.465998280226414,0.06302502405710235,2
18,COVER,0.47781255003189116,0.06409502263963487,2
18,FLARCC,0.4760006351773315,0.0644525256446185,2
18,HPS,0.4750484881276392,0.06399498596172232,2
18,MMoE,0.5013592512016731,0.06662208877432753,2
18,Pool,0.4835871999942846,0.06725140119168421,2
18,STL,0.5605961029113098,0.07332553029031827,2
19,ARMUL,0.47867406268460555,0.06436226195525709,2
19,COVER,0.474720722724587,0.06439078024794755,2
19,FLARCC,0.4883114719377764,0.06592237742995155,2
19,HPS,0.4815135108167886,0.06563382236475147,2
19,MMoE,0.5433921378024684,0.0712292585808953,2
19,Pool,0.48090510915871854,0.0663680588494566,2
19,STL,0.5012482436479694,0.06855055254694781,2
