left_tissue,right_tissue,overlap_trace,normalized_overlap_trace,invariant_normalized_overlap,invariant_overlap_rank,overlap_effective_rank,minimum_overlap_eigenvalue,maximum_overlap_eigenvalue,unweighted_head_distance,average_moment_head_energy,overlap_weighted_head_energy,supported_contrast_fraction,selected_coupling,pairwise_penalty_contribution,overlap_eigenvalue_1,overlap_eigenvalue_2,overlap_eigenvalue_3,overlap_eigenvalue_4,overlap_eigenvalue_5,overlap_eigenvalue_6,overlap_eigenvalue_7,overlap_eigenvalue_8,response,test_fold,cv_repeat
brain_cerebellar_hemisphere,brain_putamen_basal_ganglia,2.1959814815944245,0.2986607636202144,0.665862230790573,8,4.115631605912979,0.0205655422769868,0.9012917333280448,0.1317532287637469,0.2857400152201642,0.0394668126652525,0.1381214060440334,0.1,3.5878920604775074e-05,0.9012917333280448,0.3892675542977438,0.334252745865355,0.2234787830288311,0.1885602317747708,0.0867500542479493,0.0518148367747429,0.0205655422769868,JAM2,0,0
brain_cerebellar_hemisphere,brain_spinal_cord_cervical_c-1,2.8715534413825354,0.4289731138081475,0.6724086516954972,8,3.600272845428889,0.0245617316873983,1.2907243923488698,0.0960762130392536,0.1021887681150836,0.0353211284060214,0.3456458968782484,0.1,3.211011673274676e-05,1.2907243923488698,0.6241013976305056,0.3443370366635254,0.2604456732144776,0.1970333961509377,0.0815884540950971,0.0487613595917236,0.0245617316873983,JAM2,0,0
brain_cerebellum,brain_cortex,2.3675894080563227,0.4065703952222017,0.6391161644263801,8,3.728988867006479,0.0179985165293105,1.0495496296176856,0.2385292788707055,0.2170944585515664,0.0643308752025588,0.2963266572153353,0.1,5.848261382050805e-05,1.0495496296176856,0.4720501502576886,0.3232443465192928,0.1919847221674724,0.1562888556032489,0.0939551636612109,0.062518023700413,0.0179985165293105,JAM2,0,0
brain_cerebellum,brain_frontal_cortex_ba9,2.1468970895174038,0.4126497188595814,0.6281222008306506,8,4.001962096997444,0.0172937126302871,0.9066340259739384,0.3634652797653921,0.4120211925981896,0.1212150673476921,0.2941961955483763,0.1,0.0001101955157706,0.9066340259739384,0.4114209458147934,0.2771119623988088,0.2051411307813404,0.1641146395447438,0.1016355282665627,0.063545144106928,0.0172937126302871,JAM2,0,0
brain_cerebellum,brain_hypothalamus,2.7536820695971844,0.4982298808810938,0.7130634366970351,8,3.642304418933865,0.0195592890920364,1.251192118956418,0.1761715563457343,0.1988224743298416,0.099013213023384,0.4979980928067696,0.1,9.001201183944006e-05,1.251192118956418,0.5086390528858018,0.3775458065122761,0.2614702227461614,0.1885922321680646,0.0782751071821311,0.0684082400542953,0.0195592890920364,JAM2,0,0
brain_cerebellum,brain_nucleus_accumbens_basal_ganglia,2.138789419471742,0.3348960331161462,0.6641651812594078,8,4.454702693567513,0.0254536685476855,0.745391231338969,0.3906505538785162,0.809575894493126,0.2115122416150565,0.2612630181478957,0.1,0.0001922838560136,0.745391231338969,0.5559183618876296,0.2517169038808762,0.2267365115113345,0.191613578023281,0.0732591412119643,0.0687000230700017,0.0254536685476855,JAM2,0,0
brain_cerebellum,brain_putamen_basal_ganglia,2.076432395574992,0.3216690070975145,0.649493276784977,8,4.762698357821725,0.0216419135521716,0.6664373661407053,0.2493640680467099,0.4651567360707702,0.0998028264357464,0.2145574140853938,0.1,9.0729842214315e-05,0.6664373661407053,0.5235585165413449,0.2927712810738361,0.2404329528674009,0.1753224384337258,0.0847547931299309,0.0715131338358766,0.0216419135521716,JAM2,0,0
brain_cerebellum,brain_spinal_cord_cervical_c-1,3.358746346783262,0.5794499923631926,0.7103433017454892,8,2.85079203670149,0.0258884316623031,1.8509015348382512,0.1304443767970497,0.1017046956939376,0.0464246754600118,0.4564654084381586,0.1,4.220425041819262e-05,1.8509015348382512,0.4710552203593501,0.4633491415838626,0.2457124041753422,0.147096788767121,0.0854682257623875,0.0692745996346442,0.0258884316623031,JAM2,0,0
brain_cortex,brain_frontal_cortex_ba9,5.196399372360297,0.8097119725718124,0.8757899502703158,8,2.481225069678154,0.0148687307455847,3.1393361432582543,0.1517450568794579,0.1424975681191161,0.1082624809296184,0.7597496740373841,0.1,9.842043720874406e-05,3.1393361432582543,0.7464757260713984,0.5301333206776179,0.3458486254674492,0.1931701232239822,0.1691569445756545,0.0574097583403557,0.0148687307455847,JAM2,0,0
brain_cortex,brain_hypothalamus,4.153813698141814,0.616127372358529,0.7827763634340094,8,3.335589506608666,0.0168202763986992,2.0019019972515864,0.2703169868731805,0.3351414397062038,0.1934736000325194,0.5772893981780494,0.1,0.0001758850909386,2.0019019972515864,0.8241936078056061,0.5299058089047265,0.3744632758441759,0.1980070559900276,0.1466241738144318,0.0618975021325601,0.0168202763986992,JAM2,0,0
brain_cortex,brain_nucleus_accumbens_basal_ganglia,4.414010087004994,0.5806909154082042,0.757142061037807,8,2.610976423256372,0.0207370535801251,2.582581602283597,0.293610078534842,0.2861749182190044,0.161864930823407,0.5656153650039127,0.1,0.0001471499371121,2.582581602283597,0.6462730406463687,0.4226963292709261,0.3835419772107241,0.169575438058611,0.1259268904360357,0.0626777555186063,0.0207370535801251,JAM2,0,0
brain_cortex,brain_putamen_basal_ganglia,3.18792433466189,0.4156321187830713,0.7050660538169531,8,3.863900015137848,0.0179891464973461,1.3817959430784212,0.2352804754522436,0.2677123012254206,0.1141716957452034,0.4264716085984705,0.1,0.0001037924506774,1.3817959430784212,0.5418272049292433,0.4757563379765465,0.3793487192801504,0.1781314811017335,0.1402045336468611,0.0728709681515874,0.0179891464973461,JAM2,0,0
brain_cortex,brain_spinal_cord_cervical_c-1,3.488164158119704,0.4975047773656789,0.6938175475695161,8,4.112502262516684,0.0213800111938296,1.3205706157970156,0.3425474981135986,0.278628236288006,0.1348696811583709,0.4840488636584626,0.1,0.000122608801053,1.3205706157970156,0.8373403565216677,0.5897600052048464,0.3259229447710151,0.1879113232027858,0.1392726929871296,0.0660062084414131,0.0213800111938296,JAM2,0,0
brain_frontal_cortex_ba9,brain_hypothalamus,4.026874542469756,0.65785694316692,0.801819508750683,8,3.5400610358274665,0.0161213910734744,1.8115765688259424,0.231105465619377,0.3962675973427277,0.2077294685568763,0.5242151262173809,0.1,0.0001888449714153,1.8115765688259424,0.9300388304986694,0.4464101526213492,0.4078817043987282,0.2128288069858651,0.1344722031912321,0.0675448848744946,0.0161213910734744,JAM2,0,0
brain_frontal_cortex_ba9,brain_nucleus_accumbens_basal_ganglia,4.08677924454065,0.5854398980242449,0.782345947594814,8,2.963689427721623,0.019757368064231,2.191763883674548,0.2457321711183525,0.2826312824264674,0.1942999556317833,0.6874679758152199,0.1,0.0001766363233016,2.191763883674548,0.5847170938028863,0.500440516988596,0.4386519470943331,0.17113594387965,0.1119556889560111,0.0683568020803939,0.019757368064231,JAM2,0,0
