cv_repeat,response,method,task_balanced_standardized_mse,task_balanced_raw_mse,tissues
4,JAM2,Pool,0.308440169275323,0.07417978865185375,11
4,JAM2,STL,0.3437249725146109,0.08175300009672597,11
4,SH2D2A,ARMUL,0.6423344784816994,0.05739990758254434,11
4,SH2D2A,COVER,0.6240292069687804,0.05621925827886686,11
4,SH2D2A,FLARCC,0.6513417879062182,0.0582795230916678,11
4,SH2D2A,HPS,0.6481415637732028,0.05761094568305533,11
4,SH2D2A,MMoE,0.7301766542303103,0.0640897870972189,11
4,SH2D2A,Pool,0.6596110373445792,0.05923020197102475,11
4,SH2D2A,STL,0.7655369415731944,0.06698606371736508,11
5,JAM2,ARMUL,0.28526989195542835,0.06928841108879231,11
5,JAM2,COVER,0.2833154065114367,0.06842989360002666,11
5,JAM2,FLARCC,0.2930339566712258,0.07109608809139317,11
5,JAM2,HPS,0.2917925083220752,0.07053999755216926,11
5,JAM2,MMoE,0.31116274979801506,0.07533954336781203,11
5,JAM2,Pool,0.3221223839892675,0.07775181014284781,11
5,JAM2,STL,0.32312541184905064,0.07837267192024815,11
5,SH2D2A,ARMUL,0.6661376126652793,0.05866330883957207,11
5,SH2D2A,COVER,0.654107197794168,0.05749721338541931,11
5,SH2D2A,FLARCC,0.6676129861398951,0.05884351231022858,11
5,SH2D2A,HPS,0.6787725195652081,0.05954864136081908,11
5,SH2D2A,MMoE,0.7431104747037192,0.06511838846964546,11
5,SH2D2A,Pool,0.6733346645919949,0.060017696914241594,11
5,SH2D2A,STL,0.7602703491378153,0.06642309141636372,11
6,JAM2,ARMUL,0.2664500687709194,0.06459004552093335,11
6,JAM2,COVER,0.27003463176447445,0.06523011424647546,11
6,JAM2,FLARCC,0.2644099016035531,0.06401999326048441,11
6,JAM2,HPS,0.27112568189925224,0.06524252173256712,11
6,JAM2,MMoE,0.2963396358984958,0.07062817019743343,11
6,JAM2,Pool,0.31012637177346575,0.07516484326594251,11
6,JAM2,STL,0.31672247554515204,0.07559307944143168,11
6,SH2D2A,ARMUL,0.7058129350486433,0.06317439271288953,11
6,SH2D2A,COVER,0.6767669356896886,0.06021262188004122,11
6,SH2D2A,FLARCC,0.680466578897568,0.06065874969626936,11
6,SH2D2A,HPS,0.7007230613890094,0.06232120818687856,11
6,SH2D2A,MMoE,0.7172487062183461,0.06420049836105655,11
6,SH2D2A,Pool,0.6739014558193236,0.060424231476709216,11
6,SH2D2A,STL,0.7782372788823266,0.06931739040708475,11
7,JAM2,ARMUL,0.2814061785323109,0.06701238297196141,11
7,JAM2,COVER,0.2808570061713247,0.06757056251906787,11
7,JAM2,FLARCC,0.2852846131030583,0.06808498765794262,11
7,JAM2,HPS,0.2849196074196967,0.0678597717575538,11
7,JAM2,MMoE,0.3233047403088392,0.0777298526086863,11
7,JAM2,Pool,0.31605192177376623,0.07653392820248102,11
7,JAM2,STL,0.32507327151581183,0.07750082309384858,11
7,SH2D2A,ARMUL,0.6474734359174262,0.057448725766456925,11
7,SH2D2A,COVER,0.6520706448178832,0.057170898094455656,11
7,SH2D2A,FLARCC,0.656692721119054,0.0577539421303977,11
7,SH2D2A,HPS,0.6562835113610519,0.05781185319658017,11
7,SH2D2A,MMoE,0.7481507411292903,0.06362329319934713,11
7,SH2D2A,Pool,0.6854197518910514,0.0600320827676835,11
7,SH2D2A,STL,0.7647336474428127,0.06592532795093684,11
8,JAM2,ARMUL,0.27066884158104715,0.06632667837092526,11
8,JAM2,COVER,0.2650998952135405,0.06500065644764579,11
8,JAM2,FLARCC,0.2707697659754481,0.06645487248224034,11
8,JAM2,HPS,0.2644314778900012,0.06469607268698603,11
8,JAM2,MMoE,0.3000960115946554,0.07355469015474482,11
8,JAM2,Pool,0.3062533901882886,0.07442460647143609,11
8,JAM2,STL,0.3217019586618322,0.07752690277012847,11
8,SH2D2A,ARMUL,0.6848844367306476,0.059633439839087206,11
8,SH2D2A,COVER,0.6697362149347952,0.05807734100973463,11
8,SH2D2A,FLARCC,0.6878747387534706,0.05929354714539943,11
8,SH2D2A,HPS,0.6844852781825979,0.05858074227965124,11
8,SH2D2A,MMoE,0.7156574411508358,0.06021388367887856,11
8,SH2D2A,Pool,0.6587837141208602,0.05703169718230183,11
8,SH2D2A,STL,0.7623972312990536,0.06455985451072922,11
9,JAM2,ARMUL,0.28318435982757667,0.06886400918031438,11
9,JAM2,COVER,0.28053712459936686,0.06832455545333466,11
9,JAM2,FLARCC,0.2884026779169217,0.07054336336897446,11
9,JAM2,HPS,0.2941316659556679,0.07116190120155613,11
9,JAM2,MMoE,0.3433436117431708,0.08051274369170401,11
9,JAM2,Pool,0.31339693309962097,0.07542006295432223,11
9,JAM2,STL,0.32956397341665095,0.07776212366891636,11
9,SH2D2A,ARMUL,0.6463902131887913,0.05658016671439419,11
9,SH2D2A,COVER,0.6572662130421644,0.05714329934805774,11
9,SH2D2A,FLARCC,0.6726739169788711,0.05861057766479474,11
9,SH2D2A,HPS,0.6743758642008781,0.05902044873878465,11
9,SH2D2A,MMoE,0.7242061768085369,0.06136686880842415,11
9,SH2D2A,Pool,0.6628239919289162,0.05835567673266046,11
9,SH2D2A,STL,0.7366837923356769,0.06369137835331004,11
10,JAM2,ARMUL,0.2898742754241173,0.07184365931879845,11
10,JAM2,COVER,0.3051760938586755,0.07581681782713824,11
10,JAM2,FLARCC,0.29441395293975314,0.07270876397680977,11
10,JAM2,HPS,0.2907965376747484,0.07093568581846038,11
10,JAM2,MMoE,0.33219529373274576,0.07937585049104533,11
10,JAM2,Pool,0.3356753809590154,0.08339210874782733,11
10,JAM2,STL,0.33607364640796966,0.08020580652003953,11
10,SH2D2A,ARMUL,0.6971872995108686,0.05981266404671797,11
10,SH2D2A,COVER,0.6614757957814598,0.0568277774369977,11
10,SH2D2A,FLARCC,0.6685727767901435,0.05739394863448675,11
10,SH2D2A,HPS,0.7004883182199673,0.0603394270347605,11
10,SH2D2A,MMoE,0.6834844266280843,0.05887429676257386,11
10,SH2D2A,Pool,0.6674713350572288,0.05920946314926973,11
10,SH2D2A,STL,0.776532205468953,0.0659250475363487,11
11,JAM2,ARMUL,0.2839472483507839,0.06928616025096981,11
11,JAM2,COVER,0.28294817623559054,0.06937676301149436,11
11,JAM2,FLARCC,0.28599245948192337,0.07023911258037226,11
11,JAM2,HPS,0.2872964142511623,0.07008799533803035,11
11,JAM2,MMoE,0.34442642112368316,0.08343308173868563,11
11,JAM2,Pool,0.3125473178683152,0.07689954509992684,11
11,JAM2,STL,0.3183179528674445,0.07694993709164373,11
11,SH2D2A,ARMUL,0.7082591133395666,0.058281112438286084,11
11,SH2D2A,COVER,0.7228934220826243,0.05941438859043305,11
