cv_repeat,response,method,tissue,standardized_sse,raw_sse,test_samples,standardized_mse,raw_mse
1,JAM2,ARMUL,brain_cerebellum,51.84889437629177,11.188828662727815,241,0.215140640565526,0.04642667494907807
1,JAM2,ARMUL,brain_cortex,106.59200658376116,19.516684385953273,255,0.4180078689559261,0.07653601719981676
1,JAM2,ARMUL,brain_frontal_cortex_ba9,92.58850416930706,14.369644796443566,209,0.44300719698233043,0.0687542813226965
1,JAM2,ARMUL,brain_hypothalamus,58.22944864465952,16.89859662327551,202,0.2882645972507897,0.08365641892710649
1,JAM2,ARMUL,brain_nucleus_accumbens_basal_ganglia,68.04056093925537,20.207934972807337,246,0.276587646094534,0.08214607712523307
1,JAM2,ARMUL,brain_putamen_basal_ganglia,40.21821729782568,9.604763062132225,205,0.1961864258430521,0.046852502742108414
1,JAM2,ARMUL,brain_spinal_cord_cervical_c-1,27.458213255510405,15.353225304406106,159,0.17269316512899627,0.09656116543651638
1,JAM2,COVER,brain_amygdala,38.961551251977525,11.173216023888727,152,0.2563259950787995,0.07350800015716268
1,JAM2,COVER,brain_anterior_cingulate_cortex_ba24,75.12949088523253,12.138335086183284,176,0.42687210730245756,0.06896781298967775
1,JAM2,COVER,brain_caudate_basal_ganglia,51.18831625217638,12.151917104815675,246,0.2080825863909609,0.049398037011445836
1,JAM2,COVER,brain_cerebellar_hemisphere,28.55791880295173,8.410885778242656,215,0.13282752931605454,0.039120398968570495
1,JAM2,COVER,brain_cerebellum,51.85743831105478,11.181723598805828,241,0.21517609257699077,0.046397193356040776
1,JAM2,COVER,brain_cortex,105.99470649628148,19.42014888419357,255,0.4156655156716921,0.07615744660468067
1,JAM2,COVER,brain_frontal_cortex_ba9,91.874953571854,14.19150230668954,209,0.4395930792911674,0.06790192491239014
1,JAM2,COVER,brain_hypothalamus,58.88846103807076,17.03806943119693,202,0.29152703484193443,0.08434687837226203
1,JAM2,COVER,brain_nucleus_accumbens_basal_ganglia,68.41944870558486,20.30639166164795,246,0.2781278402666051,0.0825463075676746
