response,tissue,method,repeats,mse_mean,mse_sd
SH2D2A,brain_cerebellum,Pool,20,0.5252056956413542,0.028571469864768894
SH2D2A,brain_cerebellum,STL,20,0.5568784033134636,0.0368131568120852
SH2D2A,brain_cortex,ARMUL,20,0.5274437797664254,0.04021111479525354
SH2D2A,brain_cortex,COVER,20,0.5251967091886518,0.03461206020684543
SH2D2A,brain_cortex,FLARCC,20,0.5272332333651695,0.03379726772123161
SH2D2A,brain_cortex,HPS,20,0.529207718250664,0.03603535237472942
SH2D2A,brain_cortex,MMoE,20,0.5421201735006839,0.03518002445695903
SH2D2A,brain_cortex,Pool,20,0.5151400959462541,0.028055848186942074
SH2D2A,brain_cortex,STL,20,0.5685120992310169,0.03600865905747483
SH2D2A,brain_frontal_cortex_ba9,ARMUL,20,0.4739888296960363,0.03213738231868326
SH2D2A,brain_frontal_cortex_ba9,COVER,20,0.4802460789162333,0.03754650922281248
SH2D2A,brain_frontal_cortex_ba9,FLARCC,20,0.47896301372501665,0.03339783336635168
SH2D2A,brain_frontal_cortex_ba9,HPS,20,0.48180835351479684,0.03675464792973301
SH2D2A,brain_frontal_cortex_ba9,MMoE,20,0.513366213388768,0.06845706491789516
SH2D2A,brain_frontal_cortex_ba9,Pool,20,0.47672660314301496,0.036605877389828706
SH2D2A,brain_frontal_cortex_ba9,STL,20,0.5331291477717127,0.0488720722714884
SH2D2A,brain_hypothalamus,ARMUL,20,0.6444183143153479,0.07588190029181241
SH2D2A,brain_hypothalamus,COVER,20,0.6446833006711581,0.06221462677295033
SH2D2A,brain_hypothalamus,FLARCC,20,0.6485381718218969,0.08145655263512996
SH2D2A,brain_hypothalamus,HPS,20,0.660020232042229,0.08294821082250284
SH2D2A,brain_hypothalamus,MMoE,20,0.7158021140700038,0.09886949801422748
SH2D2A,brain_hypothalamus,Pool,20,0.6258634658425511,0.0734668042333452
SH2D2A,brain_hypothalamus,STL,20,0.769281781062358,0.07259908803954274
SH2D2A,brain_nucleus_accumbens_basal_ganglia,ARMUL,20,0.6557740735755935,0.04401639751246612
SH2D2A,brain_nucleus_accumbens_basal_ganglia,COVER,20,0.6578200020844734,0.04350442525861824
SH2D2A,brain_nucleus_accumbens_basal_ganglia,FLARCC,20,0.6605520467647424,0.042362418192534494
SH2D2A,brain_nucleus_accumbens_basal_ganglia,HPS,20,0.6538854270960601,0.04130013689272605
SH2D2A,brain_nucleus_accumbens_basal_ganglia,MMoE,20,0.6944408516728238,0.056224772683222346
SH2D2A,brain_nucleus_accumbens_basal_ganglia,Pool,20,0.680119452764208,0.05070522541483068
SH2D2A,brain_nucleus_accumbens_basal_ganglia,STL,20,0.7205471404796857,0.0492640702949239
SH2D2A,brain_putamen_basal_ganglia,ARMUL,20,0.5337734349767765,0.0505484163830842
