axis,value,method,excess_mse_n,excess_mse_mean,excess_mse_sd,excess_mse_se,deviation_mse_n,deviation_mse_mean,deviation_mse_sd,deviation_mse_se,selected_coupling_n,selected_coupling_mean,selected_coupling_sd,selected_coupling_se,normalized_overlap_strength_n,normalized_overlap_strength_mean,normalized_overlap_strength_sd,normalized_overlap_strength_se,overlap_energy_n,overlap_energy_mean,overlap_energy_sd,overlap_energy_se,supported_contrast_fraction_n,supported_contrast_fraction_mean,supported_contrast_fraction_sd,supported_contrast_fraction_se
posterior,0.25,HPS,100,0.07786872885373732,0.00577701202295313,0.000577701202295313,100,0.10716187039044568,0.010126660940801351,0.0010126660940801351,100,0.0,0.0,0.0,100,0.16591711916998875,3.1023198257389636e-05,3.1023198257389636e-06,100,0.0321836547752066,5.985577119128712e-06,5.985577119128712e-07,100,0.17474125385310274,3.127091116095169e-05,3.1270911160951693e-06
posterior,0.5,Average-Moment,100,0.07540049761435165,0.004582680840114459,0.0004582680840114459,100,0.1996404800491452,0.022735261367461592,0.002273526136746159,100,0.319,0.1220158956360965,0.012201589563609649,100,0.16591711916998875,3.1023198257389636e-05,3.1023198257389636e-06,100,0.034502166927218005,1.9825669888473293e-05,1.9825669888473294e-06,100,0.08325174644598193,4.70250215805099e-05,4.7025021580509896e-06
posterior,0.5,COVER,100,0.0752080112220483,0.004930364288486816,0.0004930364288486816,100,0.1881818567703721,0.024719843894583756,0.0024719843894583757,100,0.6759999999999999,0.3533733539370609,0.035337335393706086,100,0.16591711916998875,3.1023198257389636e-05,3.1023198257389636e-06,100,0.034502166927218005,1.9825669888473293e-05,1.9825669888473294e-06,100,0.08325174644598193,4.70250215805099e-05,4.7025021580509896e-06
posterior,0.5,HPS,100,0.08967853295377078,0.00628076384490386,0.000628076384490386,100,0.16254137467318133,0.020085807098681074,0.0020085807098681073,100,0.0,0.0,0.0,100,0.16591711916998875,3.1023198257389636e-05,3.1023198257389636e-06,100,0.034502166927218005,1.9825669888473293e-05,1.9825669888473294e-06,100,0.08325174644598193,4.70250215805099e-05,4.7025021580509896e-06
posterior,0.75,Average-Moment,100,0.0930857184720327,0.005829790779298278,0.0005829790779298278,100,0.4256420571970053,0.08287141733466626,0.008287141733466626,100,0.373,0.2233152412391437,0.02233152412391437,100,0.16591711916998875,3.1023198257389636e-05,3.1023198257389636e-06,100,0.03836635384723702,4.347685365112354e-05,4.347685365112354e-06,100,0.04806690544658732,5.39392733211195e-05,5.39392733211195e-06
posterior,0.75,COVER,100,0.0909278233165923,0.005636610338423999,0.0005636610338423999,100,0.3820430720062415,0.05689073601038919,0.0056890736010389185,100,1.3,0.9470848414844875,0.09470848414844875,100,0.16591711916998875,3.1023198257389636e-05,3.1023198257389636e-06,100,0.03836635384723702,4.347685365112354e-05,4.347685365112354e-06,100,0.04806690544658732,5.39392733211195e-05,5.39392733211195e-06
posterior,0.75,HPS,100,0.10721248413183158,0.007005314662835184,0.0007005314662835184,100,0.22009361217835866,0.03191123410830626,0.003191123410830626,100,0.0,0.0,0.0,100,0.16591711916998875,3.1023198257389636e-05,3.1023198257389636e-06,100,0.03836635384723702,4.347685365112354e-05,4.347685365112354e-06,100,0.04806690544658732,5.39392733211195e-05,5.39392733211195e-06
posterior,1.0,Average-Moment,100,0.11381885413080987,0.006182947556828414,0.0006182947556828414,100,0.907769021300496,0.16564097279629608,0.016564097279629608,100,0.679,0.35824910919976377,0.035824910919976374,100,0.16591711916998875,3.1023198257389636e-05,3.1023198257389636e-06,100,0.04377621553526364,7.668155108425552e-05,7.668155108425553e-06,100,0.03278029261583316,5.7039993176882e-05,5.7039993176882e-06
posterior,1.0,COVER,100,0.10602436951735138,0.00631681524374994,0.000631681524374994,100,0.6854892508385252,0.08500287192992975,0.008500287192992974,100,2.006,1.0238390814217164,0.10238390814217165,100,0.16591711916998875,3.1023198257389636e-05,3.1023198257389636e-06,100,0.04377621553526364,7.668155108425552e-05,7.668155108425553e-06,100,0.03278029261583316,5.7039993176882e-05,5.7039993176882e-06
posterior,1.0,HPS,100,0.1306465955922846,0.008440502568697638,0.0008440502568697638,100,0.2854501132000996,0.039637131508833405,0.00396371315088334,100,0.0,0.0,0.0,100,0.16591711916998875,3.1023198257389636e-05,3.1023198257389636e-06,100,0.04377621553526364,7.668155108425552e-05,7.668155108425553e-06,100,0.03278029261583316,5.7039993176882e-05,5.7039993176882e-06
